primary_id,paxdb_ppm
P51991,199.0
Q15848,199.0
Q01995,199.0
P50454,199.0
P48059,197.0
P15153,197.0
P17931,197.0
Q99798,195.0
Q05682,195.0
P60981,194.0
Q15019,194.0
P08311,193.0
P30273,193.0
P24593,193.0
Q9NR31,193.0
P35858,192.0
P46783,191.0
Q99873,191.0
A6NNZ2,189.0
P37108,189.0
Q13162,189.0
Q9UJC5,189.0
P20073,189.0
Q92954,189.0
P29622,189.0
Q15181,189.0
P07602,189.0
P09525,189.0
P49411,189.0
K7ELL7,188.0
Q00325,188.0
P49721,188.0
P81605,187.0
O14818,187.0
P35609,186.0
P54652,186.0
P09543,186.0
P49327,185.0
P56381,185.0
P23142,184.0
Q02790,183.0
P61254,183.0
A0A024R571,182.0
Q86WR0,182.0
P31930,182.0
Q14847,182.0
P62266,182.0
P12931,181.0
Q15691,181.0
O00231,181.0
Q71UI9,179.0
P0C0S5,179.0
O15173,179.0
P02538,178.0
Q13011,178.0
Q00688,178.0
P0CG48,177.0
Q07666,177.0
O15143,176.0
A0A0D9SGF6,176.0
P00403,176.0
P10124,175.0
P01036,175.0
Q14141,175.0
Q01130,174.0
P49748,174.0
P11413,174.0
P04843,174.0
P30049,174.0
P31939,173.0
P16152,172.0
Q15366,172.0
P02808,171.0
P13667,171.0
Q7KZF4,171.0
P04439,170.0
P20160,170.0
O75367,170.0
P30626,168.0
O60869,168.0
P18859,168.0
P34897,168.0
Q13642,167.0
P14868,167.0
P23381,167.0
P22695,166.0
P31947,166.0
Q9NZN4,166.0
Q01082,166.0
Q9NZP8,166.0
P21980,165.0
P08727,165.0
P16671,165.0
Q9BTT0,164.0
P05198,163.0
P48668,163.0
P00742,163.0
P28838,162.0
P15169,162.0
P20774,162.0
S4R3C0,162.0
P62136,162.0
Q9NTK5,161.0
P53396,161.0
P54920,161.0
P12109,160.0
Q9NRW1,160.0
Q15717,160.0
P13489,159.0
Q9BR76,159.0
Q9UJU6,159.0
O00148,159.0
P07477,158.0
P10644,158.0
Q86YW5,158.0
A0A0J9YXN7,156.0
P22234,155.0
P0DME0,154.0
Q9P0L0,154.0
P00505,154.0
Q9NSB4,154.0
P62140,154.0
P10153,154.0
A0A0J9YXK0,153.0
O96008,153.0
O00303,153.0
P18077,153.0
Q16853,152.0
P63167,152.0
P04844,151.0
Q15833,151.0
O00571,150.0
P07585,150.0
P35580,150.0
P51452,149.0
Q9BWD1,149.0
P54577,148.0
Q07812,148.0
O75874,148.0
Q9BXR6,148.0
Q04760,148.0
P84085,148.0
O60610,147.0
Q12905,147.0
A5A3E0,147.0
F6SHK2,146.0
P34932,146.0
P20674,145.0
Q04695,145.0
P06703,145.0
P43320,145.0
P63000,145.0
Q13283,145.0
P15121,145.0
O75347,144.0
Q9NZN3,144.0
O14880,144.0
Q06033,144.0
Q9Y4L1,144.0
Q9Y266,144.0
P02144,144.0
Q08211,144.0
Q9GZV4,142.0
P06737,142.0
P07741,142.0
P02689,141.0
P26368,141.0
P61956,141.0
P56385,141.0
P28072,140.0
P07148,140.0
O00161,140.0
Q99969,140.0
Q16698,139.0
Q15056,139.0
P36873,139.0
O75396,139.0
P18085,139.0
P51888,139.0
P00325,139.0
Q9BS26,138.0
B0I1T2,138.0
P51858,137.0
P36871,137.0
Q14444,137.0
Q99733,137.0
Q96KP4,137.0
P61026,136.0
P04070,136.0
Q13151,136.0
P31942,136.0
P29350,136.0
Q9NS69,135.0
H7BY64,135.0
Q9Y696,135.0
P35637,135.0
P40197,135.0
P41219,134.0
P62993,134.0
P08246,134.0
Q16543,134.0
G3V1Q4,133.0
P49207,133.0
P46109,133.0
M0QYT0,133.0
D6RAR4,133.0
P61289,133.0
P38117,133.0
Q9Y224,132.0
P01903,132.0
O43598,131.0
O00264,130.0
P16109,130.0
P12110,130.0
P07954,129.0
O75558,129.0
Q99436,129.0
P68036,129.0
O43175,128.0
P19971,128.0
Q9UBT2,128.0
P01033,127.0
Q8N5P1,127.0
Q02539,127.0
A0A0C4DFN3,127.0
P61163,127.0
Q16718,126.0
Q9UJZ1,126.0
P24752,126.0
P25815,126.0
P51148,125.0
O60506,125.0
Q9NYL9,125.0
P02489,125.0
Q14520,124.0
P84090,124.0
