Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P68133;P68032;P63267;P62736	P68133;P68032;P63267;P62736	ACTA1;ACTC1;ACTG2;ACTA2	Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle	sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P63267|ACTH_HUMAN Actin, gamma-enteric smooth muscle OS=Homo sapie				1251200000.0	1633000000.0	2215100000.0
P68036-2;P68036;P68036-3;A0A1B0GUS4	P68036-2;P68036;P68036-3	UBE2L3	Ubiquitin-conjugating enzyme E2 L3	sp|P68036-2|UB2L3_HUMAN Isoform 2 of Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3;sp|P68036|UB2L3_HUMAN Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1;sp|P68036-3|UB2L3_HUMAN Isoform 3 of Ubiquitin-co						
P68104;Q5VTE0;P68104-2;Q05639	P68104;Q5VTE0;P68104-2	EEF1A1;EEF1A1P5	Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3	sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1;sp|Q5VTE0|EF1A3_HUMAN Putative elongation factor 1-alpha-like 3 OS=Homo sapiens OX=9606 GN=EEF1A1P5 PE=5 SV=1;sp|P68104-2|EF1A1_HUMAN Isoform 2 of Elongation fact				10927000000.0	11934000000.0	13390000000.0
P68363;P68363-2	P68363;P68363-2	TUBA1B	Tubulin alpha-1B chain	sp|P68363|TBA1B_HUMAN Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1;sp|P68363-2|TBA1B_HUMAN Isoform 2 of Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B				9314300000.0	10370000000.0	10821000000.0
P68366-2;P68366;A6NHL2-2;A6NHL2;Q9H853	P68366-2;P68366	TUBA4A	Tubulin alpha-4A chain	sp|P68366-2|TBA4A_HUMAN Isoform 2 of Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A;sp|P68366|TBA4A_HUMAN Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1				71914000.0	78564000.0	131740000.0
P68371	P68371	TUBB4B	Tubulin beta-4B chain	sp|P68371|TBB4B_HUMAN Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1				6324400000.0	6285000000.0	6073900000.0
P68400;Q8NEV1;P68400-2	P68400;Q8NEV1;P68400-2	CSNK2A1;CSNK2A3	Casein kinase II subunit alpha;Casein kinase II subunit alpha 3	sp|P68400|CSK21_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;sp|Q8NEV1|CSK23_HUMAN Casein kinase II subunit alpha 3 OS=Homo sapiens OX=9606 GN=CSNK2A3 PE=1 SV=2;sp|P68400-2|CSK21_HUMAN Isoform 2 of Casein kinase II subu						
P68402;P68402-3;P68402-2;P68402-4	P68402;P68402-3;P68402-2;P68402-4	PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit beta	sp|P68402|PA1B2_HUMAN Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens OX=9606 GN=PAFAH1B2 PE=1 SV=1;sp|P68402-3|PA1B2_HUMAN Isoform 3 of Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens OX=9606 GN=PAFAH1						
P68431;Q16695;Q6NXT2	P68431;Q16695;Q6NXT2	HIST1H3A;HIST3H3;H3F3C	Histone H3.1;Histone H3.1t;Histone H3.3C	sp|P68431|H31_HUMAN Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2;sp|Q16695|H31T_HUMAN Histone H3.1t OS=Homo sapiens OX=9606 GN=HIST3H3 PE=1 SV=3;sp|Q6NXT2|H3C_HUMAN Histone H3.3C OS=Homo sapiens OX=9606 GN=H3F3C PE=1 SV=3						
P68871;P02042	P68871	HBB	Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin	sp|P68871|HBB_HUMAN Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2						
Q5JPE7-2;P69849;Q5JPE7;Q5JPE7-3	Q5JPE7-2;P69849;Q5JPE7;Q5JPE7-3	NOMO2;NOMO3	Nodal modulator 2;Nodal modulator 3	sp|Q5JPE7-2|NOMO2_HUMAN Isoform 2 of Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=3 SV=2;sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp						4431500.0
P69905;P02008	P69905	HBA1	Hemoglobin subunit alpha	sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2						
P78310-7;P78310-2;P78310-6;P78310	P78310-7;P78310-2;P78310-6;P78310	CXADR	Coxsackievirus and adenovirus receptor	sp|P78310-7|CXAR_HUMAN Isoform 7 of Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR;sp|P78310-2|CXAR_HUMAN Isoform 2 of Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR;sp|P78310-6|CXAR_HUMAN Isoform 6 of Coxs						
P78316-2;P78316	P78316-2;P78316	NOP14	Nucleolar protein 14	sp|P78316-2|NOP14_HUMAN Isoform 2 of Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14;sp|P78316|NOP14_HUMAN Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=3						
P78318	P78318	IGBP1	Immunoglobulin-binding protein 1	sp|P78318|IGBP1_HUMAN Immunoglobulin-binding protein 1 OS=Homo sapiens OX=9606 GN=IGBP1 PE=1 SV=1						
P78330	P78330	PSPH	Phosphoserine phosphatase	sp|P78330|SERB_HUMAN Phosphoserine phosphatase OS=Homo sapiens OX=9606 GN=PSPH PE=1 SV=2						
P78344-2;P78344	P78344-2;P78344	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	sp|P78344-2|IF4G2_HUMAN Isoform 2 of Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2;sp|P78344|IF4G2_HUMAN Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1						
P78345	P78345	RPP38	Ribonuclease P protein subunit p38	sp|P78345|RPP38_HUMAN Ribonuclease P protein subunit p38 OS=Homo sapiens OX=9606 GN=RPP38 PE=1 SV=2						
P78347-2;P78347-4;P78347-3;P78347;P78347-5;Q86UP8-3	P78347-2;P78347-4;P78347-3;P78347	GTF2I	General transcription factor II-I	sp|P78347-2|GTF2I_HUMAN Isoform 2 of General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I;sp|P78347-4|GTF2I_HUMAN Isoform 4 of General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I;sp|P78347-3|GTF2I_HUMAN Isoform 3 of General tra				103460000.0	85304000.0	57272000.0
P78371;P78371-2	P78371;P78371-2	CCT2	T-complex protein 1 subunit beta	sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4;sp|P78371-2|TCPB_HUMAN Isoform 2 of T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2				1388900000.0	1556800000.0	1572900000.0
P78406	P78406	RAE1	mRNA export factor	sp|P78406|RAE1L_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1						
P78417;P78417-3;P78417-2	P78417;P78417-3;P78417-2	GSTO1	Glutathione S-transferase omega-1	sp|P78417|GSTO1_HUMAN Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2;sp|P78417-3|GSTO1_HUMAN Isoform 3 of Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1;sp|P78417-2|GSTO1_HUMAN Isoform 2 of Glutathione S-tr				127630000.0	108230000.0	145010000.0
P78527;P78527-2	P78527;P78527-2	PRKDC	DNA-dependent protein kinase catalytic subunit	sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3;sp|P78527-2|PRKDC_HUMAN Isoform 2 of DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC				1896800000.0	2036000000.0	2164000000.0
P80217;P80217-2	P80217;P80217-2	IFI35	Interferon-induced 35 kDa protein	sp|P80217|IN35_HUMAN Interferon-induced 35 kDa protein OS=Homo sapiens OX=9606 GN=IFI35 PE=1 SV=5;sp|P80217-2|IN35_HUMAN Isoform 2 of Interferon-induced 35 kDa protein OS=Homo sapiens OX=9606 GN=IFI35						
P80297	P80297	MT1X	Metallothionein-1X	sp|P80297|MT1X_HUMAN Metallothionein-1X OS=Homo sapiens OX=9606 GN=MT1X PE=1 SV=1						
P80303-2;P80303	P80303-2;P80303	NUCB2	Nucleobindin-2;Nesfatin-1	sp|P80303-2|NUCB2_HUMAN Isoform 2 of Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2;sp|P80303|NUCB2_HUMAN Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=3						
P80723;P80723-2	P80723;P80723-2	BASP1	Brain acid soluble protein 1	sp|P80723|BASP1_HUMAN Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2;sp|P80723-2|BASP1_HUMAN Isoform 2 of Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1				4556900000.0	3372800000.0	3487800000.0
P81605;P81605-2	P81605;P81605-2	DCD	Dermcidin;Survival-promoting peptide;DCD-1	sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2;sp|P81605-2|DCD_HUMAN Isoform 2 of Dermcidin OS=Homo sapiens OX=9606 GN=DCD					98283000.0	
P82650;P82650-2	P82650;P82650-2	MRPS22	28S ribosomal protein S22, mitochondrial	sp|P82650|RT22_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;sp|P82650-2|RT22_HUMAN Isoform 2 of 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22						23641000.0
P82663;P82663-3;P82663-2	P82663;P82663-3;P82663-2	MRPS25	28S ribosomal protein S25, mitochondrial	sp|P82663|RT25_HUMAN 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1;sp|P82663-3|RT25_HUMAN Isoform 3 of 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25;sp|P82663-2|RT25_HUMAN Isoform 2 of 28S						
P82673;P82673-2	P82673	MRPS35	28S ribosomal protein S35, mitochondrial	sp|P82673|RT35_HUMAN 28S ribosomal protein S35, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS35 PE=1 SV=1						
P82909	P82909	MRPS36	28S ribosomal protein S36, mitochondrial	sp|P82909|RT36_HUMAN 28S ribosomal protein S36, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS36 PE=1 SV=2						
P82921	P82921	MRPS21	28S ribosomal protein S21, mitochondrial	sp|P82921|RT21_HUMAN 28S ribosomal protein S21, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS21 PE=1 SV=3						9537100.0
P82930	P82930	MRPS34	28S ribosomal protein S34, mitochondrial	sp|P82930|RT34_HUMAN 28S ribosomal protein S34, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS34 PE=1 SV=2					27976000.0	
P82933	P82933	MRPS9	28S ribosomal protein S9, mitochondrial	sp|P82933|RT09_HUMAN 28S ribosomal protein S9, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS9 PE=1 SV=2				11437000.0	19542000.0	21324000.0
P82970	P82970	HMGN5	High mobility group nucleosome-binding domain-containing protein 5	sp|P82970|HMGN5_HUMAN High mobility group nucleosome-binding domain-containing protein 5 OS=Homo sapiens OX=9606 GN=HMGN5 PE=1 SV=1						
P82979	P82979	SARNP	SAP domain-containing ribonucleoprotein	sp|P82979|SARNP_HUMAN SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3				189240000.0	177400000.0	196900000.0
P83731	P83731	RPL24	60S ribosomal protein L24	sp|P83731|RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1				910050000.0	723110000.0	914660000.0
P83881	P83881	RPL36A	60S ribosomal protein L36a	sp|P83881|RL36A_HUMAN 60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2						32809000.0
P84085	P84085	ARF5	ADP-ribosylation factor 5	sp|P84085|ARF5_HUMAN ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2						28841000.0
P84090	P84090	ERH	Enhancer of rudimentary homolog	sp|P84090|ERH_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1				188510000.0	168630000.0	157620000.0
P84095	P84095	RHOG	Rho-related GTP-binding protein RhoG	sp|P84095|RHOG_HUMAN Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1						
P84098	P84098	RPL19	60S ribosomal protein L19	sp|P84098|RL19_HUMAN 60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1				734570000.0	757460000.0	611160000.0
P84103-2;P84103	P84103-2;P84103	SRSF3	Serine/arginine-rich splicing factor 3	sp|P84103-2|SRSF3_HUMAN Isoform 2 of Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3;sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1				304860000.0	384590000.0	369450000.0
P84157-2;P84157-3;P84157	P84157-2;P84157-3;P84157	MXRA7	Matrix-remodeling-associated protein 7	sp|P84157-2|MXRA7_HUMAN Isoform 2 of Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7;sp|P84157-3|MXRA7_HUMAN Isoform 3 of Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7;sp|P84157|MXRA7_HUMAN Matrix-remodelin						
P84243	P84243	H3F3A	Histone H3.3	sp|P84243|H33_HUMAN Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2						
P85037-2;P85037	P85037-2;P85037	FOXK1	Forkhead box protein K1	sp|P85037-2|FOXK1_HUMAN Isoform 2 of Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1;sp|P85037|FOXK1_HUMAN Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1						
P86791;P86790	P86791;P86790	CCZ1;CCZ1B	Vacuolar fusion protein CCZ1 homolog;Vacuolar fusion protein CCZ1 homolog B	sp|P86791|CCZ1_HUMAN Vacuolar fusion protein CCZ1 homolog OS=Homo sapiens OX=9606 GN=CCZ1 PE=1 SV=1;sp|P86790|CCZ1B_HUMAN Vacuolar fusion protein CCZ1 homolog B OS=Homo sapiens OX=9606 GN=CCZ1B PE=1 SV=1						
P98175-4;P98175-3;P98175-2;P98175;P98175-5	P98175-4;P98175-3;P98175-2;P98175;P98175-5	RBM10	RNA-binding protein 10	sp|P98175-4|RBM10_HUMAN Isoform 4 of RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10;sp|P98175-3|RBM10_HUMAN Isoform 3 of RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10;sp|P98175-2|RBM10_HUMAN Isoform 2 of RNA-binding protein 10 OS=Homo sa						10097000.0
P98179	P98179	RBM3	RNA-binding protein 3	sp|P98179|RBM3_HUMAN RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1				77264000.0	109260000.0	97031000.0
P99999;CON__crap_thegpm|Cytochrome_c|Equus_caballus|P00004|Uniprot;CON__crap_maxquant|Cytochrome_c|Bos_taurus|P62894|Swissprot	P99999	CYCS	Cytochrome c	sp|P99999|CYC_HUMAN Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2				224430000.0	197090000.0	210740000.0
Q00059;Q00059-2	Q00059;Q00059-2	TFAM	Transcription factor A, mitochondrial	sp|Q00059|TFAM_HUMAN Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1;sp|Q00059-2|TFAM_HUMAN Isoform 2 of Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM						
Q00325-2;Q00325	Q00325-2;Q00325	SLC25A3	Phosphate carrier protein, mitochondrial	sp|Q00325-2|MPCP_HUMAN Isoform B of Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3;sp|Q00325|MPCP_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2				539140000.0	580240000.0	682250000.0
Q00341;Q00341-2	Q00341;Q00341-2	HDLBP	Vigilin	sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;sp|Q00341-2|VIGLN_HUMAN Isoform 2 of Vigilin OS=Homo sapiens OX=9606 GN=HDLBP				96766000.0	109390000.0	96305000.0
Q00403	Q00403	GTF2B	Transcription initiation factor IIB	sp|Q00403|TF2B_HUMAN Transcription initiation factor IIB OS=Homo sapiens OX=9606 GN=GTF2B PE=1 SV=1						9569900.0
Q00577	Q00577	PURA	Transcriptional activator protein Pur-alpha	sp|Q00577|PURA_HUMAN Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2						
Q00610-2;Q00610;P53675-2;P53675	Q00610-2;Q00610	CLTC	Clathrin heavy chain 1	sp|Q00610-2|CLH1_HUMAN Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC;sp|Q00610|CLH1_HUMAN Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5				2103600000.0	2187800000.0	2280600000.0
Q00653-4;Q00653	Q00653-4;Q00653	NFKB2	Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit	sp|Q00653-4|NFKB2_HUMAN Isoform 4 of Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens OX=9606 GN=NFKB2;sp|Q00653|NFKB2_HUMAN Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens OX=9606 GN=NFKB2 PE=1 SV=4						
Q00688	Q00688	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1				67558000.0	57933000.0	70389000.0
Q00765;Q00765-2	Q00765	REEP5	Receptor expression-enhancing protein 5	sp|Q00765|REEP5_HUMAN Receptor expression-enhancing protein 5 OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=3				52892000.0	68329000.0	81356000.0
Q00796;Q00796-2	Q00796	SORD	Sorbitol dehydrogenase	sp|Q00796|DHSO_HUMAN Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=4				49940000.0		
Q00839;Q00839-2	Q00839;Q00839-2	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	sp|Q00839|HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6;sp|Q00839-2|HNRPU_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU				3479400000.0	3167500000.0	3545600000.0
Q01082;Q01082-2;Q01082-3;P11277-3;P11277;P11277-2	Q01082;Q01082-2;Q01082-3	SPTBN1	Spectrin beta chain, non-erythrocytic 1	sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;sp|Q01082-2|SPTB2_HUMAN Isoform Short of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1;sp|Q01082-3|SPTB2_HUMAN Isoform 2 o				776740000.0	760770000.0	771530000.0
Q01085-2;Q01085	Q01085-2;Q01085	TIAL1	Nucleolysin TIAR	sp|Q01085-2|TIAR_HUMAN Isoform 2 of Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1;sp|Q01085|TIAR_HUMAN Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1						
Q01105;Q01105-3;Q01105-4;P0DME0	Q01105;Q01105-3;Q01105-4;P0DME0	SET;SETSIP	Protein SET;Protein SETSIP	sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;sp|Q01105-3|SET_HUMAN Isoform 3 of Protein SET OS=Homo sapiens OX=9606 GN=SET;sp|Q01105-4|SET_HUMAN Isoform 4 of Protein SET OS=Homo sapiens OX=9606 GN=SET;sp|P0DME0|SETLP_HUMAN Prote				705250000.0	518890000.0	647110000.0
Q01105-2	Q01105-2	SET	Protein SET	sp|Q01105-2|SET_HUMAN Isoform 2 of Protein SET OS=Homo sapiens OX=9606 GN=SET						
Q01130;Q01130-2;Q9BRL6-2;Q9BRL6	Q01130;Q01130-2	SRSF2	Serine/arginine-rich splicing factor 2	sp|Q01130|SRSF2_HUMAN Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4;sp|Q01130-2|SRSF2_HUMAN Isoform 2 of Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2				483100000.0	365330000.0	380030000.0
Q01433-2;Q01433;Q01433-3;Q01433-5;Q01433-4	Q01433-2;Q01433;Q01433-3;Q01433-5;Q01433-4	AMPD2	AMP deaminase 2	sp|Q01433-2|AMPD2_HUMAN Isoform Ex1A-2-3 of AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2;sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;sp|Q01433-3|AMPD2_HUMAN Isoform Ex1A-3 of AMP deaminase 2 OS=Homo sapiens OX=9606 						
Q01518;Q01518-2;P40123-3;P40123-2;P40123	Q01518;Q01518-2	CAP1	Adenylyl cyclase-associated protein 1	sp|Q01518|CAP1_HUMAN Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5;sp|Q01518-2|CAP1_HUMAN Isoform 2 of Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1				472590000.0	451160000.0	375120000.0
Q01581	Q01581	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	sp|Q01581|HMCS1_HUMAN Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=HMGCS1 PE=1 SV=2						
Q01650;Q9UM01;Q92536	Q01650	SLC7A5	Large neutral amino acids transporter small subunit 1	sp|Q01650|LAT1_HUMAN Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2				696630000.0	524910000.0	707680000.0
Q01658	Q01658	DR1	Protein Dr1	sp|Q01658|NC2B_HUMAN Protein Dr1 OS=Homo sapiens OX=9606 GN=DR1 PE=1 SV=1						5739200.0
Q01780-2;Q01780	Q01780-2;Q01780	EXOSC10	Exosome component 10	sp|Q01780-2|EXOSX_HUMAN Isoform 2 of Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10;sp|Q01780|EXOSX_HUMAN Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2						
Q01813;Q01813-2	Q01813;Q01813-2	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2;sp|Q01813-2|PFKAP_HUMAN Isoform 2 of ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP				523160000.0	638950000.0	749510000.0
Q01844-6;Q01844-3;Q01844;Q01844-5;Q01844-2;Q01844-4	Q01844-6;Q01844-3;Q01844;Q01844-5;Q01844-2	EWSR1	RNA-binding protein EWS	sp|Q01844-6|EWS_HUMAN Isoform 6 of RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1;sp|Q01844-3|EWS_HUMAN Isoform 3 of RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1;sp|Q01844|EWS_HUMAN RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=E				282200000.0	266020000.0	239610000.0
Q01968-2;Q01968	Q01968-2;Q01968	OCRL	Inositol polyphosphate 5-phosphatase OCRL-1	sp|Q01968-2|OCRL_HUMAN Isoform B of Inositol polyphosphate 5-phosphatase OCRL OS=Homo sapiens OX=9606 GN=OCRL;sp|Q01968|OCRL_HUMAN Inositol polyphosphate 5-phosphatase OCRL OS=Homo sapiens OX=9606 GN=OCRL PE=1 SV=3						
Q01970-2;Q01970	Q01970-2;Q01970	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	sp|Q01970-2|PLCB3_HUMAN Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3;sp|Q01970|PLCB3_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 P				35211000.0		
Q02127	Q02127	DHODH	Dihydroorotate dehydrogenase (quinone), mitochondrial	sp|Q02127|PYRD_HUMAN Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=3						
Q02218-2;Q02218;Q9ULD0-3;Q9ULD0-2;Q9ULD0;Q02218-3	Q02218-2;Q02218	OGDH	2-oxoglutarate dehydrogenase, mitochondrial	sp|Q02218-2|ODO1_HUMAN Isoform 2 of 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH;sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3						
Q02413;Q02413-2	Q02413	DSG1	Desmoglein-1	sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2						
Q02543	Q02543	RPL18A	60S ribosomal protein L18a	sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2				483940000.0	509940000.0	553700000.0
