Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P07954-2;P07954	P07954-2;P07954	FH	Fumarate hydratase, mitochondrial	sp|P07954-2|FUMH_HUMAN Isoform Cytoplasmic of Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH;sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3				717640000.0	678910000.0	855360000.0
P08047-3;P08047	P08047-3;P08047	SP1	Transcription factor Sp1	sp|P08047-3|SP1_HUMAN Isoform 3 of Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1;sp|P08047|SP1_HUMAN Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3						
P08133;P08133-2	P08133;P08133-2	ANXA6	Annexin A6	sp|P08133|ANXA6_HUMAN Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;sp|P08133-2|ANXA6_HUMAN Isoform 2 of Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6				430190000.0	276160000.0	475040000.0
P08134	P08134	RHOC	Rho-related GTP-binding protein RhoC	sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1					41617000.0	
P08174-4;P08174;P08174-3;P08174-5;P08174-2;P08174-6;P08174-7	P08174-4;P08174;P08174-3;P08174-5;P08174-2;P08174-6;P08174-7	CD55	Complement decay-accelerating factor	sp|P08174-4|DAF_HUMAN Isoform 4 of Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55;sp|P08174|DAF_HUMAN Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55 PE=1 SV=4;sp|P08174-3|DAF_HUMAN Isoform 3 of Complement decay-a				188580000.0	136020000.0	161930000.0
P08195;P08195-3;P08195-4	P08195;P08195-3;P08195-4	SLC3A2	4F2 cell-surface antigen heavy chain	sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;sp|P08195-3|4F2_HUMAN Isoform 3 of 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2;sp|P08195-4|4F2_HUMAN Isoform 4 of 4F2 cell-surfa				4199000000.0	4040600000.0	4416700000.0
P08195-2	P08195-2	SLC3A2	4F2 cell-surface antigen heavy chain	sp|P08195-2|4F2_HUMAN Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2						66317000.0
P08237-3;P08237;P08237-2	P08237-3;P08237;P08237-2	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	sp|P08237-3|PFKAM_HUMAN Isoform 3 of ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM;sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;sp|P08237-2|PFKAM_HUMAN I				193820000.0	304960000.0	277510000.0
P08238;Q58FF7	P08238	HSP90AB1	Heat shock protein HSP 90-beta	sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4				18347000000.0	17216000000.0	18640000000.0
P08240;P08240-2	P08240;P08240-2	SRPR	Signal recognition particle receptor subunit alpha	sp|P08240|SRPRA_HUMAN Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2;sp|P08240-2|SRPRA_HUMAN Isoform 2 of Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA				30680000.0	37843000.0	52848000.0
P08243;P08243-2;P08243-3	P08243;P08243-2;P08243-3	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4;sp|P08243-2|ASNS_HUMAN Isoform 2 of Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS;sp|P08243-3|ASNS_HUMAN Isoform 3 				56023000.0	56829000.0	69927000.0
P08559-3;P08559;P08559-2;P08559-4;P29803	P08559-3;P08559;P08559-2;P08559-4	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	sp|P08559-3|ODPA_HUMAN Isoform 3 of Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1;sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo 				66139000.0	41707000.0	50191000.0
P08574	P08574	CYC1	Cytochrome c1, heme protein, mitochondrial	sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3				148050000.0	121560000.0	94861000.0
P08579	P08579	SNRPB2	U2 small nuclear ribonucleoprotein B	sp|P08579|RU2B_HUMAN U2 small nuclear ribonucleoprotein B OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1						25242000.0
P08582	P08582	MFI2	Melanotransferrin	sp|P08582|TRFM_HUMAN Melanotransferrin OS=Homo sapiens OX=9606 GN=MELTF PE=1 SV=2						
P08621-2;P08621;P08621-3;P08621-4	P08621-2;P08621;P08621-3;P08621-4	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	sp|P08621-2|RU17_HUMAN Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70;sp|P08621|RU17_HUMAN U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2;sp|P08621-3|RU17_HUMAN Isoform 3 of				98004000.0	109740000.0	127360000.0
P08651-4;P08651-5;P08651-3;P08651-6;P08651-2;P08651	P08651-4;P08651-5;P08651-3;P08651-6;P08651-2;P08651	NFIC	Nuclear factor 1 C-type	sp|P08651-4|NFIC_HUMAN Isoform 3 of Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC;sp|P08651-5|NFIC_HUMAN Isoform 5 of Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC;sp|P08651-3|NFIC_HUMAN Isoform 2 of Nuclear factor 1 C-type OS=Homo sapi						
P08670;P17661;P41219;P41219-2;Q16352;P07197-2;P07197;P07196;P12036-2;P12036	P08670	VIM	Vimentin	sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4				17557000000.0	14678000000.0	16048000000.0
P08708	P08708	RPS17	40S ribosomal protein S17	sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2				788010000.0	495480000.0	293790000.0
P08754;P63096;P63096-2;P09471-2;P11488;P09471;P19087;A8MTJ3;P38405-3;P38405;P38405-2	P08754	GNAI3	Guanine nucleotide-binding protein G(k) subunit alpha	sp|P08754|GNAI3_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3				235970000.0	160980000.0	203240000.0
P08758	P08758	ANXA5	Annexin A5	sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2				539290000.0	441920000.0	514660000.0
P08865	P08865	RPSA	40S ribosomal protein SA	sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4				1910200000.0	2276100000.0	1982600000.0
P08962-3;P08962-2;P08962	P08962-3;P08962-2;P08962	CD63	CD63 antigen	sp|P08962-3|CD63_HUMAN Isoform 3 of CD63 antigen OS=Homo sapiens OX=9606 GN=CD63;sp|P08962-2|CD63_HUMAN Isoform 2 of CD63 antigen OS=Homo sapiens OX=9606 GN=CD63;sp|P08962|CD63_HUMAN CD63 antigen OS=Homo sapiens OX=9606 GN=CD63 PE=1 SV=2						
P09001	P09001	MRPL3	39S ribosomal protein L3, mitochondrial	sp|P09001|RM03_HUMAN 39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1						
P09012	P09012	SNRPA	U1 small nuclear ribonucleoprotein A	sp|P09012|SNRPA_HUMAN U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3				219470000.0	228670000.0	220090000.0
P09110;P09110-2	P09110;P09110-2	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2;sp|P09110-2|THIK_HUMAN Isoform 2 of 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1						20930000.0
