Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity SP3_1	LFQ intensity SP3_2	LFQ intensity SP3_3
Q8NEF9	Q8NEF9	SRFBP1	Serum response factor-binding protein 1	sp|Q8NEF9|SRFB1_HUMAN Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1						5031600.0
Q8NF91-4;Q8NF91;Q8NF91-7;Q8NF91-5;Q8NF91-6;Q8NF91-10;Q8NF91-8;Q8NF91-2	Q8NF91-4;Q8NF91;Q8NF91-7	SYNE1	Nesprin-1	sp|Q8NF91-4|SYNE1_HUMAN Isoform 4 of Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1;sp|Q8NF91|SYNE1_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4;sp|Q8NF91-7|SYNE1_HUMAN Isoform 7 of Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1						162940000.0
Q8NFC6	Q8NFC6	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1	sp|Q8NFC6|BD1L1_HUMAN Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2					17947000.0	
Q8NFH5;Q8NFH5-2;Q8NFH5-3	Q8NFH5;Q8NFH5-2;Q8NFH5-3	NUP35	Nucleoporin NUP53	sp|Q8NFH5|NUP35_HUMAN Nucleoporin NUP35 OS=Homo sapiens OX=9606 GN=NUP35 PE=1 SV=1;sp|Q8NFH5-2|NUP35_HUMAN Isoform 2 of Nucleoporin NUP35 OS=Homo sapiens OX=9606 GN=NUP35;sp|Q8NFH5-3|NUP35_HUMAN Isoform 3 of Nucleoporin NUP35 OS=Homo sapiens OX=9606 GN=NUP				35988000.0		50848000.0
Q8NFW8	Q8NFW8	CMAS	N-acylneuraminate cytidylyltransferase	sp|Q8NFW8|NEUA_HUMAN N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2				7476500.0		
Q8NI36	Q8NI36	WDR36	WD repeat-containing protein 36	sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1				26205000.0		
Q8TAA9-2;Q8TAA9	Q8TAA9-2;Q8TAA9	VANGL1	Vang-like protein 1	sp|Q8TAA9-2|VANG1_HUMAN Isoform 2 of Vang-like protein 1 OS=Homo sapiens OX=9606 GN=VANGL1;sp|Q8TAA9|VANG1_HUMAN Vang-like protein 1 OS=Homo sapiens OX=9606 GN=VANGL1 PE=1 SV=1						9695900.0
Q8TBC4;Q8TBC4-2	Q8TBC4;Q8TBC4-2	UBA3	NEDD8-activating enzyme E1 catalytic subunit	sp|Q8TBC4|UBA3_HUMAN NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens OX=9606 GN=UBA3 PE=1 SV=2;sp|Q8TBC4-2|UBA3_HUMAN Isoform 2 of NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens OX=9606 GN=UBA3				23560000.0		
Q8TD08-2;Q8TD08-3;Q8TD08	Q8TD08-2;Q8TD08-3;Q8TD08	MAPK15	Mitogen-activated protein kinase 15	sp|Q8TD08-2|MK15_HUMAN Isoform 2 of Mitogen-activated protein kinase 15 OS=Homo sapiens OX=9606 GN=MAPK15;sp|Q8TD08-3|MK15_HUMAN Isoform 3 of Mitogen-activated protein kinase 15 OS=Homo sapiens OX=9606 GN=MAPK15;sp|Q8TD08|MK15_HUMAN Mitogen-activated prote				14239000.0		
Q8TDN6	Q8TDN6	BRIX1	Ribosome biogenesis protein BRX1 homolog	sp|Q8TDN6|BRX1_HUMAN Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2				141890000.0	93309000.0	82452000.0
