Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity DOC_1	LFQ intensity DOC_2	LFQ intensity DOC_3
P62263	P62263	RPS14	40S ribosomal protein S14	sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3					704730000.0	611310000.0
P62266	P62266	RPS23	40S ribosomal protein S23	sp|P62266|RS23_HUMAN 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3				346550000.0	204180000.0	226190000.0
P62269	P62269	RPS18	40S ribosomal protein S18	sp|P62269|RS18_HUMAN 40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3				578680000.0		620610000.0
P62277	P62277	RPS13	40S ribosomal protein S13	sp|P62277|RS13_HUMAN 40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2				691890000.0	279830000.0	353790000.0
P62280	P62280	RPS11	40S ribosomal protein S11	sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3				759770000.0	442760000.0	777230000.0
P62318-2;P62318	P62318-2;P62318	SNRPD3	Small nuclear ribonucleoprotein Sm D3	sp|P62318-2|SMD3_HUMAN Isoform 2 of Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3;sp|P62318|SMD3_HUMAN Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1				89647000.0		
P62333	P62333	PSMC6	26S protease regulatory subunit 10B	sp|P62333|PRS10_HUMAN 26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1				153650000.0	134300000.0	107870000.0
P62424	P62424	RPL7A	60S ribosomal protein L7a	sp|P62424|RL7A_HUMAN 60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2				473850000.0	1066400000.0	1460800000.0
P62495;P62495-2	P62495;P62495-2	ETF1	Eukaryotic peptide chain release factor subunit 1	sp|P62495|ERF1_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3;sp|P62495-2|ERF1_HUMAN Isoform 2 of Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1				132380000.0	116340000.0	144130000.0
P62701;Q8TD47;P22090	P62701	RPS4X	40S ribosomal protein S4, X isoform	sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2				753470000.0	969440000.0	871260000.0
